income_stability,average_eligible_emi,average_usable_salary,average_monthly_credit,employer_category,employment_tenure_years,average_month_end_balance,bounce_count,gambling_transaction_count,active_loans_count,has_credit_card,has_personal_loan,has_home_loan,credit_exposure_intensity,average_obligation_to_income_ratio,credit_score
STABLE,30625.34,100272,199319.42,Category A (MNC/Govt/PSU),2.28,367046.82,0,0,2,1,0,1,2,64.09,737
STABLE,23961.14,57333,159620.41,Category B (Private Ltd),7.92,170229.63,0,0,4,0,1,1,5,33.87,730
FLUCTUATING,40957.45,115983,334137.42,Unlisted,12.32,31801.58,1,0,4,0,1,1,4,91.91,505
STABLE,62979.29,151564,409567.36,Category A (MNC/Govt/PSU),0.93,711372.14,0,0,1,0,0,0,2,67.05,739
STABLE,35778.78,92074,151471.08,Category C (Partnership/Proprietorship),0.73,262736.46,0,0,1,0,0,1,1,61.98,714
STABLE,112805.27,230984,320732.35,Category A (MNC/Govt/PSU),2.53,20741.33,0,0,5,1,1,1,5,49.58,696
STABLE,36617.79,65609,98446.48,Category A (MNC/Govt/PSU),1.81,115991.85,0,0,3,1,0,1,3,48.87,730
STABLE,108959.5,221810,543918.64,Unlisted,3.63,890987.2,0,0,1,0,1,0,1,25.67,724
FLUCTUATING,116786.11,230552,257385.3,Unlisted,2.92,149995.24,0,0,0,0,0,0,1,53.92,617
STABLE,63086.13,200710,427928.66,Category A (MNC/Govt/PSU),0.64,128581.95,0,0,5,1,1,1,6,24.9,716
STABLE,95577.93,176319,298439.06,Category B (Private Ltd),5.25,16824.91,1,0,1,0,0,0,2,89.34,560
STABLE,9197.88,26364,30084.95,Category B (Private Ltd),0.13,124256.3,0,0,3,0,0,1,3,48.95,733
FLUCTUATING,23932.0,48304,68271.36,Category A (MNC/Govt/PSU),1.21,18694.76,0,0,1,0,0,0,2,42.76,647
STABLE,28726.06,75953,151304.07,Category B (Private Ltd),2.14,29476.93,0,0,3,1,1,1,4,46.0,699
FLUCTUATING,64600.16,124352,156108.95,Category A (MNC/Govt/PSU),4.34,360242.79,0,0,0,0,0,0,0,18.77,714
STABLE,78387.38,188031,299960.28,Category A (MNC/Govt/PSU),0.27,802194.23,0,0,3,1,1,0,3,51.91,745
STABLE,44960.02,112795,264508.44,Category C (Partnership/Proprietorship),7.84,71939.44,0,0,1,0,0,0,1,72.65,706
STABLE,9922.6,16801,39920.18,Category C (Partnership/Proprietorship),10.08,37722.26,0,0,2,0,1,1,3,22.46,703
STABLE,141893.38,299106,815445.82,Category C (Partnership/Proprietorship),1.35,909601.07,0,0,2,1,0,1,2,42.13,720
STABLE,78268.08,234786,466108.96,Category A (MNC/Govt/PSU),3.16,4858.57,0,0,0,0,0,0,0,59.59,673
STABLE,92921.11,240907,659410.22,Category A (MNC/Govt/PSU),16.51,23437.62,0,0,5,1,1,1,5,94.4,614
STABLE,92268.09,285987,381057.91,Category A (MNC/Govt/PSU),1.74,1013892.63,0,0,2,1,0,1,3,91.49,680
FLUCTUATING,143917.84,296103,460369.8,Category A (MNC/Govt/PSU),3.12,888767.76,0,0,2,1,0,1,3,12.75,697
STABLE,67342.58,176619,223665.05,Category A (MNC/Govt/PSU),14.11,528016.73,1,0,5,1,1,1,6,56.88,724
STABLE,39006.38,71813,213611.52,Category A (MNC/Govt/PSU),4.51,348694.42,0,0,1,1,0,0,1,45.26,733
STABLE,105728.64,188998,496271.33,Unlisted,28.47,735417.6,1,0,0,0,0,0,0,48.3,698
STABLE,18002.18,31949,80319.73,Category A (MNC/Govt/PSU),1.56,1751.92,0,0,1,1,0,0,2,79.39,635
STABLE,159344.03,296429,646189.07,Category B (Private Ltd),2.73,969006.99,0,0,3,0,1,0,4,39.8,734
STABLE,15496.27,35934,100914.08,Category A (MNC/Govt/PSU),3.61,75583.77,0,0,4,0,1,1,4,22.5,748
FLUCTUATING,93436.5,292107,318899.79,Category B (Private Ltd),2.13,871156.46,0,0,2,0,1,0,3,69.3,644
STABLE,103742.19,182312,355129.79,Category B (Private Ltd),0.95,2493.7,0,0,4,1,0,1,5,17.54,622
STABLE,57172.62,157979,273072.98,Category B (Private Ltd),5.86,12945.89,0,0,5,1,1,1,5,88.27,615
STABLE,40255.35,74291,185468.92,Category A (MNC/Govt/PSU),1.17,187637.55,0,0,1,0,0,0,1,15.3,754
STABLE,83120.36,146194,295802.34,Category B (Private Ltd),0.57,402992.95,0,0,4,1,1,1,5,11.71,745
FLUCTUATING,85959.1,255885,711630.15,Category B (Private Ltd),5.68,663387.63,0,0,1,0,0,0,1,73.36,678
STABLE,82224.94,201076,460832.91,Category B (Private Ltd),2.2,624887.73,0,0,5,1,1,1,6,30.91,729
FLUCTUATING,147330.95,271949,302218.82,Category C (Partnership/Proprietorship),0.27,19777.91,3,0,3,0,1,1,4,87.98,389
FLUCTUATING,42932.12,122221,285665.49,Unlisted,4.07,188696.96,0,0,5,1,1,1,6,46.16,632
FLUCTUATING,82160.91,245659,545667.62,Category A (MNC/Govt/PSU),4.35,13094.27,0,0,1,0,0,0,2,21.43,650
STABLE,8300.27,15287,23072.38,Category B (Private Ltd),7.14,37660.53,0,0,0,0,0,0,0,80.6,627
STABLE,89376.21,149639,210991.53,Category A (MNC/Govt/PSU),13.05,64472.61,0,0,4,1,1,1,5,77.96,702
STABLE,80872.03,165002,464601.45,Category A (MNC/Govt/PSU),4.44,390948.03,0,0,4,1,1,0,5,55.88,757
STABLE,44295.04,77728,137406.19,Category B (Private Ltd),11.85,59159.6,1,0,1,0,0,1,2,24.17,689
STABLE,36246.24,69379,148908.27,Unlisted,6.98,273155.2,0,0,1,1,0,0,2,51.99,699
STABLE,68161.49,164782,315392.82,Category B (Private Ltd),3.49,417642.6,0,0,2,1,1,0,2,60.87,703
STABLE,56652.46,140330,191297.22,Unlisted,4.38,339265.72,1,0,4,1,1,0,5,53.0,677
STABLE,57147.14,101751,291438.93,Category B (Private Ltd),5.96,365768.94,0,0,1,0,1,0,1,46.05,770
STABLE,83039.76,144869,180451.95,Category A (MNC/Govt/PSU),0.9,12368.07,0,0,2,1,0,0,3,61.67,656
STABLE,36532.12,67545,68170.74,Category A (MNC/Govt/PSU),2.54,311740.91,0,0,1,1,0,0,1,48.44,737
STABLE,47141.81,137738,186328.38,Category B (Private Ltd),2.71,267141.57,0,0,3,1,0,0,4,66.4,714
UNSTABLE,10274.56,29816,54540.87,Category A (MNC/Govt/PSU),28.84,91172.8,0,0,2,0,0,0,3,86.33,614
STABLE,94036.41,227516,608179.76,Category B (Private Ltd),1.74,621735.04,0,0,5,1,1,1,6,75.06,698
STABLE,166092.78,284486,496888.55,Category A (MNC/Govt/PSU),5.16,91563.1,0,0,4,1,0,1,5,12.3,747
STABLE,38940.56,86218,188825.87,Category A (MNC/Govt/PSU),4.21,247640.82,0,0,5,1,1,1,6,82.73,672
UNSTABLE,55397.79,131300,216379.79,Category A (MNC/Govt/PSU),5.02,560784.25,0,0,4,1,1,1,5,69.84,625
FLUCTUATING,39256.42,97955,259601.78,Category A (MNC/Govt/PSU),0.17,181894.82,0,0,4,0,1,1,5,28.66,700
FLUCTUATING,125283.89,266713,792333.54,Category B (Private Ltd),1.01,709402.37,0,0,0,0,0,0,0,28.53,699
FLUCTUATING,43051.07,126739,355014.27,Category B (Private Ltd),5.75,347566.0,0,0,1,1,0,0,1,44.45,692
FLUCTUATING,3858.2,11622,14876.59,Category A (MNC/Govt/PSU),1.55,16311.56,0,0,1,0,1,0,1,81.24,529
STABLE,55741.2,177469,236489.29,Category C (Partnership/Proprietorship),0.43,244494.73,0,0,3,0,1,1,3,71.33,653
STABLE,97012.33,194374,558564.69,Category C (Partnership/Proprietorship),1.21,6531.7,0,0,5,1,1,1,5,60.73,564
STABLE,57511.12,142596,242852.44,Category B (Private Ltd),6.1,343153.18,0,0,3,1,0,1,4,92.25,673
STABLE,24244.05,61474,160745.93,Unlisted,7.8,166117.7,0,0,2,0,0,0,3,64.31,684
STABLE,38290.1,77957,230842.65,Unlisted,5.2,34898.22,0,0,0,0,0,0,0,57.24,681
UNSTABLE,18425.76,54813,134952.2,Category A (MNC/Govt/PSU),0.61,220218.95,0,0,2,1,0,0,3,54.41,637
STABLE,61721.35,131826,258658.93,Category C (Partnership/Proprietorship),3.78,282309.35,0,0,3,1,1,0,3,66.24,693
STABLE,128191.6,264444,387653.47,Category A (MNC/Govt/PSU),10.2,23462.3,0,0,2,0,1,0,2,94.82,634
STABLE,80858.89,192256,376773.93,Category B (Private Ltd),10.34,747436.03,0,0,4,1,0,1,4,30.3,762
STABLE,13497.09,34951,55663.53,Category A (MNC/Govt/PSU),0.22,3456.48,0,0,3,0,1,0,4,91.3,569
FLUCTUATING,118429.58,248506,736736.05,Category C (Partnership/Proprietorship),4.59,1229629.45,0,0,3,0,1,1,3,65.22,648
FLUCTUATING,29757.26,71665,76929.79,Unlisted,8.75,230971.57,0,0,3,1,1,0,4,54.63,652
STABLE,119304.9,266689,798112.58,Category C (Partnership/Proprietorship),3.11,1010693.63,0,0,4,1,1,0,5,48.88,732
STABLE,169992.66,289746,789342.06,Category C (Partnership/Proprietorship),5.32,178928.72,0,0,2,1,0,1,2,14.15,712
STABLE,81893.82,144092,429819.33,Category A (MNC/Govt/PSU),10.72,655801.0,0,0,2,1,0,0,2,32.7,775
STABLE,11066.73,29623,38944.8,Category A (MNC/Govt/PSU),2.03,138174.52,0,0,3,0,1,1,3,84.94,653
FLUCTUATING,107015.14,195374,245729.64,Category A (MNC/Govt/PSU),6.8,16336.59,0,0,1,0,1,0,2,17.15,651
UNSTABLE,71466.18,173038,176177.74,Category C (Partnership/Proprietorship),0.69,49913.34,0,0,3,0,1,0,4,25.26,591
STABLE,108193.64,213667,242656.08,Category A (MNC/Govt/PSU),6.16,13331.83,0,0,2,1,0,0,3,84.08,622
UNSTABLE,43236.45,87475,191464.56,Category A (MNC/Govt/PSU),0.34,173620.46,0,0,1,0,0,0,2,33.26,684
UNSTABLE,43187.18,99186,131644.38,Category C (Partnership/Proprietorship),5.92,59058.22,0,0,2,0,0,0,2,90.82,543
STABLE,36243.54,63268,171754.92,Unlisted,7.14,107389.18,0,0,1,1,0,0,1,27.03,707
STABLE,20350.4,36385,70820.48,Unlisted,1.03,142908.09,0,0,3,0,1,0,3,63.23,649
STABLE,84252.03,156323,306869.04,Category A (MNC/Govt/PSU),0.67,354144.8,0,0,5,1,1,1,6,37.7,733
FLUCTUATING,157366.61,264346,343428.09,Category B (Private Ltd),5.7,1289627.63,0,0,0,0,0,0,0,90.98,620
STABLE,91334.05,174053,224849.35,Category A (MNC/Govt/PSU),4.23,9296.53,0,0,1,0,0,1,2,16.16,687
STABLE,60428.66,186076,492920.55,Category A (MNC/Govt/PSU),1.94,216615.47,0,0,1,0,0,0,1,66.98,697
STABLE,139632.81,245458,537443.37,Category B (Private Ltd),4.75,1150944.88,1,0,3,0,1,0,4,62.04,675
STABLE,50379.24,108511,285882.6,Category B (Private Ltd),5.16,402752.65,0,0,3,1,1,1,3,50.74,753
STABLE,71051.28,161094,400891.78,Category C (Partnership/Proprietorship),2.84,3954.94,0,0,4,1,1,1,5,56.11,624
STABLE,141688.61,281090,321678.5,Category A (MNC/Govt/PSU),1.49,1227719.05,0,0,3,0,1,1,3,39.4,750
FLUCTUATING,131894.76,276847,293122.53,Category A (MNC/Govt/PSU),4.66,1109101.48,0,2,1,0,0,0,2,40.53,580
STABLE,140442.47,270116,341193.07,Category C (Partnership/Proprietorship),11.99,8475.94,2,0,4,1,1,1,5,51.84,569
STABLE,49224.14,108317,186139.16,Category B (Private Ltd),0.89,525681.81,0,0,0,0,0,0,1,60.89,710
UNSTABLE,89915.14,242750,671791.04,Category B (Private Ltd),2.01,828523.7,0,0,2,1,1,0,3,70.08,627
STABLE,108944.11,226184,387558.17,Category B (Private Ltd),7.61,529851.74,1,0,2,0,1,0,2,12.91,720
STABLE,69689.15,188686,208194.94,Category B (Private Ltd),1.27,3390.69,0,0,3,1,1,0,4,43.78,630
UNSTABLE,77996.2,255546,420695.49,Unlisted,4.34,691074.13,0,0,5,1,1,1,5,22.2,620
STABLE,77927.55,131863,156627.06,Category B (Private Ltd),2.93,138498.21,0,0,1,0,0,0,1,68.08,700
STABLE,166089.4,296233,634299.87,Category A (MNC/Govt/PSU),13.36,1021193.43,0,0,4,1,1,1,5,65.35,755
STABLE,54604.87,113409,185562.43,Category C (Partnership/Proprietorship),25.06,71936.71,0,0,1,0,0,1,1,75.04,688
STABLE,24489.24,46321,120232.05,Category B (Private Ltd),8.51,2733.13,0,0,3,1,0,1,4,43.67,685
STABLE,74924.7,172396,254299.32,Category A (MNC/Govt/PSU),1.29,11086.85,0,0,5,1,1,1,5,42.28,688
UNSTABLE,143607.36,250069,657064.44,Category A (MNC/Govt/PSU),0.81,345378.89,0,0,5,1,1,1,6,71.04,608
STABLE,12410.74,34596,35119.29,Category B (Private Ltd),11.42,160863.3,0,0,5,1,1,1,5,18.62,758
STABLE,26101.94,67716,109332.89,Category C (Partnership/Proprietorship),3.87,211924.14,0,0,3,0,1,1,4,20.36,706
STABLE,65644.61,185211,379743.07,Category C (Partnership/Proprietorship),0.57,265129.8,2,0,5,1,1,1,5,41.75,603
STABLE,47185.41,98204,259099.25,Category C (Partnership/Proprietorship),1.29,307644.53,0,0,0,0,0,0,1,31.73,721
STABLE,74361.18,148299,388403.97,Category C (Partnership/Proprietorship),0.81,138559.05,0,0,0,0,0,0,0,55.51,708
STABLE,9601.09,26014,36741.45,Category B (Private Ltd),1.48,12501.86,0,0,4,1,1,1,5,44.37,695
STABLE,69502.26,136888,408270.1,Category A (MNC/Govt/PSU),0.55,407413.9,0,0,4,1,1,0,4,60.64,709
STABLE,99415.4,244565,278522.28,Category B (Private Ltd),0.35,323270.42,0,0,1,0,1,0,1,55.3,724
STABLE,42105.63,84069,251221.6,Category B (Private Ltd),4.08,204538.78,0,0,3,1,0,0,3,24.9,756
STABLE,115161.81,272351,502590.61,Category C (Partnership/Proprietorship),0.01,1337225.6,0,0,3,1,0,1,3,22.96,714
FLUCTUATING,94145.13,203783,546967.14,Category B (Private Ltd),4.89,15889.84,0,0,5,1,1,1,6,70.24,587
STABLE,105315.55,277926,478108.54,Category A (MNC/Govt/PSU),13.82,463168.32,0,0,3,0,1,1,4,53.83,767
FLUCTUATING,12181.25,20382,55089.49,Category A (MNC/Govt/PSU),13.34,1703.33,0,0,5,1,1,1,6,78.5,555
STABLE,16363.28,50461,91130.57,Category A (MNC/Govt/PSU),5.94,246397.48,0,0,0,0,0,0,0,83.27,665
STABLE,83183.34,172624,436673.05,Category A (MNC/Govt/PSU),3.49,155809.59,0,0,1,1,0,0,2,21.49,723
STABLE,6047.88,17967,39322.24,Unlisted,10.44,77023.69,0,0,1,0,0,1,2,41.01,683
STABLE,23172.73,52913,59068.24,Unlisted,0.3,260419.73,0,0,0,0,0,0,1,35.78,693
STABLE,79784.35,164363,372508.89,Category A (MNC/Govt/PSU),1.32,169953.39,0,0,1,1,0,0,1,77.33,712
STABLE,132839.97,298859,404587.63,Category A (MNC/Govt/PSU),16.6,251716.36,0,0,4,0,1,1,5,67.88,728
STABLE,21384.49,70428,104402.67,Unlisted,8.09,179006.81,0,0,4,0,1,1,5,32.61,709
STABLE,63844.67,114131,169707.77,Category B (Private Ltd),8.32,493720.79,0,0,0,0,0,0,0,18.68,782
STABLE,62176.39,114576,132087.08,Category A (MNC/Govt/PSU),13.32,452531.44,0,0,2,0,1,0,3,64.12,749
FLUCTUATING,118292.79,259686,337679.57,Category C (Partnership/Proprietorship),3.59,103882.17,0,0,4,1,1,1,4,16.06,643
STABLE,82150.96,157603,268949.96,Category A (MNC/Govt/PSU),2.15,531843.76,0,0,4,1,1,1,4,66.13,713
STABLE,40357.29,88815,248486.75,Category C (Partnership/Proprietorship),1.29,302262.48,0,0,3,1,0,1,4,15.89,737
STABLE,164794.4,279054,724822.78,Category A (MNC/Govt/PSU),19.55,835942.19,0,0,3,1,1,0,4,20.89,774
STABLE,36550.73,99489,173542.05,Category B (Private Ltd),2.89,470261.03,0,0,2,0,0,0,3,11.08,763
STABLE,53116.88,134447,370877.07,Category A (MNC/Govt/PSU),3.93,169551.67,2,0,5,1,1,1,5,25.35,641
STABLE,40490.24,68005,195499.15,Category A (MNC/Govt/PSU),0.9,5123.37,0,0,2,0,1,0,2,81.46,579
STABLE,17673.85,37044,74707.42,Category A (MNC/Govt/PSU),4.16,162695.4,0,0,1,1,0,0,2,10.79,732
FLUCTUATING,91279.8,254839,703262.11,Category B (Private Ltd),1.86,1048042.78,0,0,4,0,1,1,4,57.11,691
FLUCTUATING,83502.6,151877,155227.9,Category C (Partnership/Proprietorship),7.11,581699.6,0,0,2,1,0,1,2,20.6,685
STABLE,62779.92,117539,168600.08,Category A (MNC/Govt/PSU),5.44,3062.31,0,0,3,0,1,0,3,42.95,657
STABLE,35381.42,78099,191093.38,Category A (MNC/Govt/PSU),1.28,35414.7,0,0,2,1,0,0,2,11.95,711
STABLE,50694.67,147069,351617.17,Category C (Partnership/Proprietorship),20.08,611899.28,0,0,5,1,1,1,5,72.52,700
STABLE,45494.76,142723,371469.98,Category C (Partnership/Proprietorship),6.61,147390.66,0,0,2,1,1,0,2,44.84,702
FLUCTUATING,4861.43,13471,28708.05,Unlisted,0.9,40573.15,0,0,2,1,0,0,2,76.52,560
STABLE,92106.47,222978,428890.52,Category B (Private Ltd),2.86,800243.79,0,0,1,0,0,1,1,47.13,767
STABLE,47191.67,135736,301395.04,Category A (MNC/Govt/PSU),6.96,650413.0,0,0,5,1,1,1,6,32.24,752
STABLE,31487.44,83997,129682.92,Category C (Partnership/Proprietorship),2.99,43154.09,0,0,3,0,1,1,4,87.05,627
STABLE,11460.78,27073,45880.25,Category C (Partnership/Proprietorship),0.11,130608.09,0,0,1,0,1,0,2,45.6,698
FLUCTUATING,98734.61,261924,604612.06,Category A (MNC/Govt/PSU),4.17,1274424.12,0,0,0,0,0,0,0,22.86,700
STABLE,70389.34,139350,291270.91,Unlisted,1.29,390768.04,0,0,1,0,0,1,2,29.22,699
STABLE,7920.54,23140,53878.62,Category A (MNC/Govt/PSU),0.51,55739.14,0,0,5,1,1,1,6,40.26,673
STABLE,49480.42,110158,185016.41,Category C (Partnership/Proprietorship),3.94,420772.37,0,0,5,1,1,1,6,84.0,657
UNSTABLE,10018.04,16823,42798.13,Category A (MNC/Govt/PSU),0.34,76784.5,0,0,1,0,0,0,1,65.83,590
STABLE,60646.02,113850,333461.33,Category A (MNC/Govt/PSU),3.7,456049.08,0,0,0,0,0,0,0,26.65,769
STABLE,76307.27,218139,485783.83,Category A (MNC/Govt/PSU),11.37,12136.08,0,0,4,1,1,1,5,65.61,670
STABLE,24181.5,49901,58230.88,Category C (Partnership/Proprietorship),8.14,241631.01,0,1,4,1,1,1,5,63.95,617
UNSTABLE,89134.03,208137,275670.55,Category A (MNC/Govt/PSU),4.1,760303.1,1,0,4,1,1,1,4,25.93,640
STABLE,35210.17,105665,266187.55,Unlisted,11.58,180422.12,0,0,3,0,1,1,4,54.66,730
FLUCTUATING,73979.19,226823,553029.61,Category B (Private Ltd),11.79,253599.46,0,0,5,1,1,1,5,81.52,590
FLUCTUATING,103908.42,199139,241493.37,Category A (MNC/Govt/PSU),0.02,199583.81,0,2,2,1,0,0,3,83.64,464
STABLE,35004.04,112932,181582.55,Category B (Private Ltd),13.93,437849.89,0,0,1,1,0,0,1,87.11,706
STABLE,22934.16,68810,130333.78,Category B (Private Ltd),10.0,139403.74,2,0,3,0,0,1,3,13.57,688
STABLE,97663.65,254325,690920.49,Category A (MNC/Govt/PSU),12.08,1033463.0,0,0,0,0,0,0,0,63.4,769
STABLE,22131.56,66307,159625.61,Category B (Private Ltd),0.51,17209.28,0,0,2,1,0,1,2,35.27,707
FLUCTUATING,75282.65,239416,671751.02,Category C (Partnership/Proprietorship),5.51,1073314.38,0,0,4,1,1,1,5,77.54,655
STABLE,19085.55,59812,159264.23,Category B (Private Ltd),0.61,5494.71,0,0,0,0,0,0,1,53.98,660
STABLE,63546.72,147653,376184.31,Category B (Private Ltd),11.15,459795.87,0,0,4,1,0,1,4,30.18,766
STABLE,99745.87,240147,474370.57,Category B (Private Ltd),15.03,905174.27,0,0,5,1,1,1,6,31.62,766
STABLE,49744.95,145450,225975.28,Unlisted,2.01,165997.58,0,0,0,0,0,0,0,55.65,687
STABLE,90097.41,289687,352274.31,Category A (MNC/Govt/PSU),8.11,770800.64,0,0,0,0,0,0,1,17.4,777
FLUCTUATING,25735.7,45634,98092.98,Category A (MNC/Govt/PSU),5.63,2306.97,1,0,3,1,1,0,3,44.94,563
STABLE,83745.91,213196,564453.63,Unlisted,8.61,14343.0,0,0,0,0,0,0,0,84.09,587
STABLE,120973.59,223981,520829.52,Category A (MNC/Govt/PSU),4.54,1012739.52,0,0,0,0,0,0,0,45.08,786
STABLE,72483.11,151130,302910.95,Category A (MNC/Govt/PSU),0.62,3848.73,0,0,4,0,1,1,5,80.47,575
STABLE,110819.7,259768,413052.27,Category B (Private Ltd),4.3,5473.39,0,0,0,0,0,0,1,81.88,578
FLUCTUATING,94640.85,241496,622569.52,Category B (Private Ltd),8.01,1042369.0,1,0,2,1,0,1,3,11.05,680
STABLE,39095.91,93555,191939.8,Category B (Private Ltd),0.91,38819.39,0,0,2,1,0,0,2,53.97,719
STABLE,54146.39,130234,336451.79,Category B (Private Ltd),0.53,358040.57,0,0,5,1,1,1,5,18.95,737
STABLE,72655.22,160871,471035.89,Category A (MNC/Govt/PSU),0.2,7226.13,0,0,2,0,0,0,2,48.97,664
STABLE,47963.06,143241,417094.54,Category A (MNC/Govt/PSU),10.96,597056.47,3,0,5,1,1,1,6,12.63,655
FLUCTUATING,13058.92,37716,79483.56,Category B (Private Ltd),7.18,87279.29,0,0,2,1,0,0,3,14.9,684
STABLE,137299.19,232740,492342.3,Category A (MNC/Govt/PSU),4.34,11628.61,0,0,2,1,1,0,2,94.48,580
STABLE,40002.64,84965,190433.84,Category A (MNC/Govt/PSU),2.51,4486.08,0,0,2,0,1,0,2,60.93,663
STABLE,29177.95,86021,222021.89,Category A (MNC/Govt/PSU),7.9,379355.6,1,0,2,1,0,0,3,93.38,654
FLUCTUATING,37819.8,82805,175995.68,Category B (Private Ltd),4.65,160549.52,0,0,2,0,0,0,3,47.69,702
FLUCTUATING,104624.83,193043,377006.56,Unlisted,0.31,13053.15,0,0,5,1,1,1,5,48.11,562
UNSTABLE,110929.59,191948,199286.59,Category B (Private Ltd),5.82,676454.63,0,0,3,1,0,1,4,38.34,659
STABLE,122207.61,227144,677137.18,Category A (MNC/Govt/PSU),26.15,2318.82,0,0,4,1,0,1,4,15.87,672
FLUCTUATING,9875.57,18068,47308.64,Category C (Partnership/Proprietorship),6.02,829.66,0,0,1,1,0,0,1,15.61,500
STABLE,28137.41,51869,150180.26,Category A (MNC/Govt/PSU),15.52,84957.03,0,0,1,0,0,0,2,70.1,752
STABLE,53106.47,126185,200707.46,Category A (MNC/Govt/PSU),1.65,588059.28,0,0,4,1,1,1,4,50.5,734
STABLE,96917.63,163245,360279.46,Category A (MNC/Govt/PSU),5.22,14688.67,0,0,1,0,0,0,2,63.11,679
STABLE,57085.51,153217,371996.36,Category C (Partnership/Proprietorship),8.15,413197.98,0,0,1,0,0,0,2,52.22,752
FLUCTUATING,104879.15,214535,237847.25,Category C (Partnership/Proprietorship),1.91,12014.31,0,0,5,1,1,1,5,15.33,592
STABLE,65935.91,176277,437485.69,Category A (MNC/Govt/PSU),0.54,264043.16,0,0,3,1,0,1,4,85.81,643
STABLE,111815.18,189767,223655.41,Category B (Private Ltd),3.4,614279.01,0,0,4,0,1,1,4,84.42,659
UNSTABLE,78293.19,231035,543444.33,Unlisted,1.57,749669.47,3,0,5,1,1,1,6,42.74,482
STABLE,27945.14,77055,133876.46,Category A (MNC/Govt/PSU),0.27,169461.0,0,0,0,0,0,0,0,83.93,666
FLUCTUATING,103592.79,192240,482146.78,Category A (MNC/Govt/PSU),2.51,154460.32,0,0,3,1,1,0,3,67.99,638
STABLE,27401.74,70948,123135.36,Category A (MNC/Govt/PSU),0.59,105318.39,0,0,4,1,1,1,5,38.67,702
FLUCTUATING,100170.92,223666,404517.74,Category B (Private Ltd),4.52,11578.87,2,0,5,1,1,1,5,36.51,550
STABLE,84768.48,249719,677802.07,Category B (Private Ltd),0.4,490728.18,0,0,4,1,1,1,4,75.72,716
STABLE,29316.81,71240,71432.86,Category A (MNC/Govt/PSU),5.2,303902.14,0,0,0,0,0,0,0,76.33,717
STABLE,150775.91,264595,640391.57,Unlisted,4.62,128762.29,0,0,0,0,0,0,0,76.74,667
STABLE,22979.76,71215,123298.91,Category A (MNC/Govt/PSU),1.09,4701.42,0,0,2,0,0,0,2,78.95,635
UNSTABLE,140200.04,279150,424254.95,Category A (MNC/Govt/PSU),12.47,685576.68,1,0,1,0,0,0,2,22.52,649
STABLE,53419.15,123000,156031.61,Unlisted,3.77,320156.35,0,0,5,1,1,1,6,78.59,678
STABLE,22914.6,53309,57989.52,Category A (MNC/Govt/PSU),2.95,23450.59,0,1,4,1,1,0,5,82.57,575
STABLE,13762.73,38328,111260.8,Unlisted,6.22,112446.34,0,0,2,0,0,1,2,16.21,714
STABLE,49409.34,138389,357761.89,Unlisted,14.39,374066.33,2,0,4,1,1,1,5,50.54,633
STABLE,54908.86,103783,281294.89,Category B (Private Ltd),9.02,208555.11,0,0,4,1,1,0,5,78.69,724
